תחקירן,נושא,פוליטיקאי,אמירה,תאריך אמירה,מקור אמירה,סוג,הפרכה,תאריך הפרכה,מקור הפרכה
טרו,בטחוני,אביגדור ליברמן,"אביגדור ליברמן: אם אני שר הבטחון, תוך 48 שעות אסמעאיל הניה מת...
",2016-05-29,https://www.youtube.com/watch?v=d_d02vdCnWM,הבטחה,"ליברמן על האפשרות של חיסול הנייה: ""הגשתי תוכניות, נתניהו מנע""",2022-07-19,"https://www.ynet.co.il/articles/0,7340,L-5555537,00.html"
גיא זוהר,כלכלי,אביגדור ליברמן,"
אבל השר ליברמן לא אמר שלא יעלה מיסים?
 ",2022-07-28,https://cdnapisec.kaltura.com/p/2717431/sp/271743100/embedIframeJs/uiconf_id/45733501​/partner_id/2717431?iframeembed=true&playerId=playerid_45733501​&entry_id=1_re3dli63,הבטחה,לא קרה,,https://cdnapisec.kaltura.com/p/2717431/sp/271743100/embedIframeJs/uiconf_id/45733501​/partner_id/2717431?iframeembed=true&playerId=playerid_45733501​&entry_id=1_re3dli63
גיא זוהר,דיור,אביגדור ליברמן,"
שר האוצר ליברמן קבע שעד סוף השנה יצליחו להשתלט על מחירי הדיור
 ",2022-04-20,https://cdnapisec.kaltura.com/p/2717431/sp/271743100/embedIframeJs/uiconf_id/45733501​/partner_id/2717431?iframeembed=true&playerId=playerid_45733501​&entry_id=1_jzusfxbz,הבטחה,לא קרה,,https://cdnapisec.kaltura.com/p/2717431/sp/271743100/embedIframeJs/uiconf_id/45733501​/partner_id/2717431?iframeembed=true&playerId=playerid_45733501​&entry_id=1_jzusfxbz
גיא זוהר,פוליטי,אביגדור ליברמן,"
שר האוצר ליברמן הצהיר שמעולם לא דיבר על ערבים בהכללה. היה לנו ספק
 ",2022-01-02,https://cdnapisec.kaltura.com/p/2717431/sp/271743100/embedIframeJs/uiconf_id/45733501​/partner_id/2717431?iframeembed=true&playerId=playerid_45733501​&entry_id=1_12t5inbl,טענה,לא אמת,,https://cdnapisec.kaltura.com/p/2717431/sp/271743100/embedIframeJs/uiconf_id/45733501​/partner_id/2717431?iframeembed=true&playerId=playerid_45733501​&entry_id=1_12t5inbl
גיא זוהר,כלכלי,אביגדור ליברמן,"
שר האוצר ליברמן מצהיר שהתקציב הפעם הוא הכי חברתי שיש. אבל מסתבר שלא בדיוק",2022-03-11,https://cdnapisec.kaltura.com/p/2717431/sp/271743100/embedIframeJs/uiconf_id/45733501​/partner_id/2717431?iframeembed=true&playerId=playerid_45733501​&entry_id=1_ou9hnjlp,טענה,לא אמת,,https://cdnapisec.kaltura.com/p/2717431/sp/271743100/embedIframeJs/uiconf_id/45733501​/partner_id/2717431?iframeembed=true&playerId=playerid_45733501​&entry_id=1_ou9hnjlp
טרו,בטחוני,איתמר בן גביר,"""אעצור את הפשיעה בחברה הערבית""",2022-10-24,https://www.ice.co.il/elections2022/news/article/903218,הבטחה,"אחרי שבשנה שעברה נרשמה לראשונה זה זמן רב ירידה מסוימת במספר הנרצחים, שעדיין היה גבוה משמעותית ביחס לשיעור הערבים באוכלוסייה, בשנת 2023 נרצחו כבר 35 בני אדם - ותושבים מדווחים על מקרי ירי בלתי-פוסקים.",2023-03-18,https://www.ynet.co.il/news/article/hys3vpbxn#autoplay
טרו,כלכלי,איתמר בן גביר,לאזן בין הצורך בשימוש החומרים הבלתי מתכלים לבין הפגיעה הסביבתית ולשים דגש על הפחתת הזיהום הכבד והמשמעותי יותר,2022-11-01,https://story.mako.co.il/elections_promises/c/349ca14e/?cardId=349ca14e,הבטחה,"ביומו הראשון בתפקיד פירסם שר האוצר, בצלאל סמוטריץ', צו המורה על ביטול מס הקנייה על הכלים החד־פעמיים,",2023-02-06,https://www.themarker.com/consumer/2023-02-06/ty-article/.premium/00000186-22ee-dddb-a5ce-73eeff160000
טרו,בטחוני,איתמר בן גביר,"אני אהפוך את הקרקעות בנגב לבעלות יהודית, בכך שאחלק בחינם לחיילי צה״ל.",2022-08-24,https://ozma-yeudit.co.il/%D7%97%D7%9B-%D7%91%D7%9F-%D7%92%D7%91%D7%99%D7%A8-%D7%91%D7%97%D7%95%D7%92-%D7%91%D7%99%D7%AA-%D7%91%D7%92%D7%9F-%D7%99%D7%91%D7%A0%D7%94-%D7%9B%D7%A9%D7%9E%D7%A2%D7%9C%D7%99%D7%9D-%D7%9E/,הבטחה,לא קרה,,
טרו,בטחוני,איתמר בן גביר,"לשכת השר הודיעה שלא יגיע לזירת הפיגוע הקשה ברחוב דיזינגוף בתל אביב. הסיבה, כך נמסר מלשכתו נעוצה בבקשה מיוחדת של כוח האבטחה שלו- מטעמי אבטחה כמובן",2023-03-09,https://www.now14.co.il/%D7%91%D7%90%D7%95%D7%A4%D7%9F-%D7%97%D7%A8%D7%99%D7%92-%D7%94%D7%A1%D7%99%D7%91%D7%94-%D7%A9%D7%94%D7%A9%D7%A8-%D7%9C%D7%91%D7%99%D7%98%D7%97%D7%95%D7%9F-%D7%9C%D7%90%D7%95%D7%9E%D7%99-%D7%91%D7%9F/,טענה,"שדוברות המשטרה סתרה את דבריו של השר, שלפיה יש במשטרה מודיעין על כך שמפגינים מתכוונים לרצוח אותו.",2023-03-18,https://www.ynet.co.il/news/article/hys3vpbxn#autoplay
גיא זוהר,פוליטי,איתמר בן גביר,"
שינוי של 360 מעלות של איתמר בן גביר
 ",2021-07-29,https://cdnapisec.kaltura.com/p/2717431/sp/271743100/embedIframeJs/uiconf_id/45733501​/partner_id/2717431?iframeembed=true&playerId=playerid_45733501​&entry_id=1_4t3rtuzh,טענה,לא אמת,,https://cdnapisec.kaltura.com/p/2717431/sp/271743100/embedIframeJs/uiconf_id/45733501​/partner_id/2717431?iframeembed=true&playerId=playerid_45733501​&entry_id=1_4t3rtuzh
גיא זוהר,בטחוני,איתמר בן גביר,"
הכרזת השר לביטחון לאומי בן גביר על מבצע ""חומת מגן 2"" עוררה ביקורת
 ",2023-02-12,https://cdnapisec.kaltura.com/p/2717431/sp/271743100/embedIframeJs/uiconf_id/45733501​/partner_id/2717431?iframeembed=true&playerId=playerid_45733501​&entry_id=1_cyae24ek,טענה,לא אמת,,https://cdnapisec.kaltura.com/p/2717431/sp/271743100/embedIframeJs/uiconf_id/45733501​/partner_id/2717431?iframeembed=true&playerId=playerid_45733501​&entry_id=1_cyae24ek
גיא זוהר,בטחוני ,איתמר בן גביר,"
השר בן גביר טוען שתוקפים את המפכ""ל בגלל שהוא קרוב אליו
 ",2022-10-20,https://cdnapisec.kaltura.com/p/2717431/sp/271743100/embedIframeJs/uiconf_id/45733501​/partner_id/2717431?iframeembed=true&playerId=playerid_45733501​&entry_id=1_p21pwlnh,טענה,לא אמת,,https://cdnapisec.kaltura.com/p/2717431/sp/271743100/embedIframeJs/uiconf_id/45733501​/partner_id/2717431?iframeembed=true&playerId=playerid_45733501​&entry_id=1_p21pwlnh
גיא זוהר,פוליטי,איתמר בן גביר,"
השר איתמר בן גביר מאשים שהמפגינים מקבלים הנחות מהמשטרה. ספוילר, הם לא
 
",2023-03-14,https://cdnapisec.kaltura.com/p/2717431/sp/271743100/embedIframeJs/uiconf_id/45733501​/partner_id/2717431?iframeembed=true&playerId=playerid_45733501​&entry_id=1_0kt608fz,טענה,לא אמת,,https://cdnapisec.kaltura.com/p/2717431/sp/271743100/embedIframeJs/uiconf_id/45733501​/partner_id/2717431?iframeembed=true&playerId=playerid_45733501​&entry_id=1_0kt608fz
גיא זוהר,פוליטי,איתמר בן גביר,"
מה בן גביר המפגין חשב על חסימות כבישים?
 
",2023-02-20,https://cdnapisec.kaltura.com/p/2717431/sp/271743100/embedIframeJs/uiconf_id/45733501​/partner_id/2717431?iframeembed=true&playerId=playerid_45733501​&entry_id=1_bgpvqx45,טענה,לא אמת,,https://cdnapisec.kaltura.com/p/2717431/sp/271743100/embedIframeJs/uiconf_id/45733501​/partner_id/2717431?iframeembed=true&playerId=playerid_45733501​&entry_id=1_bgpvqx45
